Country,Price
Australia,12.774536384976493
Austria,13.733979706877232
Bahrain,15.010000000000002
Belgium,13.185281606931905
Brazil,14.382903225806448
Canada,12.348466666666667
Channel Islands,13.585198728139888
Cyprus,19.03336769759456
Czech Republic,11.866785714285713
Denmark,12.472884615384622
EIRE,13.037793240556503
European Community,14.597241379310338
Finland,12.617976878612708
France,12.422292418772408
Germany,12.59631850117089
Greece,11.540149253731343
Hong Kong,13.394183006535936
Iceland,7.867890724269381
Israel,13.315335195530727
Italy,13.323509833585465
Japan,12.096091644204837
Lebanon,15.77111111111112
Lithuania,13.066470588235289
Malta,13.58033557046979
Netherlands,11.888781115879965
Norway,12.611417910447788
Poland,13.888333333333344
Portugal,11.986639610389659
RSA,14.070175438596495
Saudi Arabia,12.719999999999997
Singapore,16.277116279069762
Spain,13.414666666666644
Sweden,12.177314148681056
Switzerland,13.068043664383483
USA,12.1530870712401
United Arab Emirates,13.192238805970153
United Kingdom,12.653651099278836
Unspecified,13.00337807606264
